Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Last Updated
1,Desert of the Glorified,Land - Desert,,Common,$0.19,main,https://deckbox.org/system/images/mtg/cards/430860.jpg,Hour of Devastation,171,Near Mint,English,,,,,,2020-10-23 01:51:01 UTC
1,Diabolic Tutor,Sorcery,{2}{B}{B},Uncommon,$0.98,main,https://deckbox.org/system/images/mtg/cards/417648.jpg,Magic 2011,93,Near Mint,English,,,,,,2020-10-23 01:46:41 UTC
1,Dictate of Erebos,Enchantment,{3}{B}{B},Rare,$8.78,main,https://deckbox.org/system/images/mtg/cards/380399.jpg,Journey into Nyx,65,Near Mint,English,,,,,,2020-10-23 01:42:10 UTC
1,Diregraf Colossus,Creature - Zombie Giant,{2}{B},Rare,$5.38,main,https://deckbox.org/system/images/mtg/cards/409854.jpg,Shadows over Innistrad,107,,,,,,,,2020-10-24 23:34:35 UTC
1,Doom Blade,Instant,{1}{B},Uncommon,$0.30,main,https://deckbox.org/system/images/mtg/cards/2000474.jpg,Magic 2014 Core Set,96,Near Mint,English,,,,,,2020-10-23 01:41:27 UTC
1,Emblem: Liliana of the Dark Realms,Emblem,,Common,$0.49,main,https://deckbox.org/system/images/mtg/cards/1002083.jpg,Extras: Magic 2013,11,Near Mint,English,,,,,,2020-10-23 01:40:52 UTC
1,Empty the Pits,Instant,{X}{X}{B}{B}{B}{B},MythicRare,$0.70,main,https://deckbox.org/system/images/mtg/cards/386531.jpg,Khans of Tarkir,72,Near Mint,English,,,,,,2020-10-23 01:49:04 UTC
1,Endless Ranks of the Dead,Enchantment,{2}{B}{B},Rare,$10.79,main,https://deckbox.org/system/images/mtg/cards/234430.jpg,Innistrad,99,Near Mint,English,,,,,,2020-10-23 01:44:52 UTC
1,"Erebos, God of the Dead",Legendary Enchantment Creature - God,{3}{B},MythicRare,$9.61,main,https://deckbox.org/system/images/mtg/cards/373589.jpg,Theros,85,Near Mint,English,,,,,,2020-10-23 01:41:53 UTC
1,Ghoulraiser,Creature - Zombie,{1}{B}{B},Common,$0.20,main,https://deckbox.org/system/images/mtg/cards/220019.jpg,Innistrad,102,Near Mint,English,,,,,,2020-10-23 01:41:36 UTC
1,Graf Harvest,Enchantment,{B},Uncommon,$0.61,main,https://deckbox.org/system/images/mtg/cards/414385.jpg,Eldritch Moon,90,Near Mint,English,foil,,,,,2020-10-23 01:47:07 UTC
1,Gravedigger,Creature - Zombie,{3}{B},Uncommon,$0.19,main,https://deckbox.org/system/images/mtg/cards/466857.jpg,Eighth Edition,138,Near Mint,English,,,,,,2020-10-23 01:48:21 UTC
1,"Josu Vess, Lich Knight",Legendary Creature - Zombie Knight,{2}{B}{B},Rare,$0.75,main,https://deckbox.org/system/images/mtg/cards/442983.jpg,Dominaria,95,Near Mint,English,,,,,,2020-10-23 01:48:56 UTC
1,Liliana of the Dark Realms,Legendary Planeswalker - Liliana,{2}{B}{B},MythicRare,$19.48,main,https://deckbox.org/system/images/mtg/cards/370658.jpg,Magic 2014 Core Set,102,Near Mint,English,,,,,,2020-10-23 01:42:17 UTC
1,Liliana Vess,Legendary Planeswalker - Liliana,{3}{B}{B},MythicRare,$10.36,main,https://deckbox.org/system/images/mtg/cards/383300.jpg,Lorwyn,121,Near Mint,English,,,,,,2020-10-23 01:45:01 UTC
1,Liliana's Reaver,Creature - Zombie,{2}{B}{B},Rare,$1.17,main,https://deckbox.org/system/images/mtg/cards/370740.jpg,Magic 2014 Core Set,103,Near Mint,English,,,,,,2020-10-23 01:46:31 UTC
1,"Liliana, Death Wielder",Legendary Planeswalker - Liliana,{5}{B}{B},MythicRare,$4.98,main,https://deckbox.org/system/images/mtg/cards/429667.jpg,Amonkhet,275,Near Mint,English,foil,,,,,2020-10-23 01:48:35 UTC
1,"Liliana, Untouched by Death",Legendary Planeswalker - Liliana,{2}{B}{B},MythicRare,$4.50,main,https://deckbox.org/system/images/mtg/cards/447242.jpg,Core Set 2019,106,Near Mint,English,,,,,,2020-10-23 01:42:47 UTC
1,Lord of the Accursed,Creature - Zombie,{2}{B},Uncommon,$0.81,main,https://deckbox.org/system/images/mtg/cards/426801.jpg,Amonkhet,99,Near Mint,English,,,,,,2020-10-23 01:46:12 UTC
1,Lord of the Undead,Creature - Zombie,{1}{B}{B},Rare,$14.33,main,https://deckbox.org/system/images/mtg/cards/129629.jpg,Ninth Edition,143,Near Mint,English,,,,,,2020-10-23 01:43:22 UTC
1,Maggot Carrier,Creature - Zombie,{B},Common,$0.19,main,https://deckbox.org/system/images/mtg/cards/45283.jpg,Eighth Edition,142,Near Mint,English,,,,,,2020-10-23 01:47:52 UTC
1,"Mikaeus, the Unhallowed",Legendary Creature - Zombie Cleric,{3}{B}{B}{B},MythicRare,$37.75,main,https://deckbox.org/system/images/mtg/cards/249896.jpg,Dark Ascension,70,Near Mint,English,,,,,,2020-10-23 01:42:01 UTC
1,Mortuary Mire,Land,,Common,$0.22,main,https://deckbox.org/system/images/mtg/cards/2012286.jpg,Battle for Zendikar,240,Near Mint,English,,,,,,2020-10-23 01:50:11 UTC
1,Mutilate,Sorcery,{2}{B}{B},Rare,$1.34,main,https://deckbox.org/system/images/mtg/cards/265134.jpg,Magic 2013,102,Near Mint,English,,,,,,2020-10-23 01:45:59 UTC
1,Noosegraf Mob,Creature - Zombie,{4}{B}{B},Rare,$0.40,main,https://deckbox.org/system/images/mtg/cards/446119.jpg,Battlebond,151,Near Mint,English,,,,,,2020-10-23 01:43:36 UTC
1,Noxious Ghoul,Creature - Zombie,{3}{B}{B},Uncommon,$1.70,main,https://deckbox.org/system/images/mtg/cards/44276.jpg,Legions,77,Near Mint,English,,,,,,2020-10-23 01:42:57 UTC
1,Open the Graves,Enchantment,{3}{B}{B},Rare,$2.62,main,https://deckbox.org/system/images/mtg/cards/447248.jpg,Core Set 2019,112,Near Mint,English,foil,,,,,2020-10-23 01:48:10 UTC
1,Overseer of the Damned,Creature - Demon,{5}{B}{B},Rare,$1.25,main,https://deckbox.org/system/images/mtg/cards/470671.jpg,Archenemy: Nicol Bolas,36,Near Mint,English,,,,,,2020-10-23 01:43:11 UTC
1,Paragon of Open Graves,Creature - Skeleton Warrior,{3}{B},Uncommon,$0.27,main,https://deckbox.org/system/images/mtg/cards/383340.jpg,Magic 2015 Core Set,111,Near Mint,English,,,,,,2020-10-23 01:44:04 UTC
1,Plague Belcher,Creature - Zombie Beast,{2}{B},Rare,$0.99,main,https://deckbox.org/system/images/mtg/cards/426806.jpg,Amonkhet,104,Near Mint,English,,,,,,2020-10-23 01:41:09 UTC
1,Profane Memento,Artifact,{1},Uncommon,$0.37,main,https://deckbox.org/system/images/mtg/cards/383353.jpg,Magic 2015 Core Set,226,Near Mint,English,,,,,,2020-10-23 01:41:48 UTC
1,Relentless Dead,Creature - Zombie,{B}{B},MythicRare,$11.58,main,https://deckbox.org/system/images/mtg/cards/409881.jpg,Shadows over Innistrad,131,Near Mint,English,,,,,,2020-10-23 01:46:18 UTC
1,Reliquary Tower,Land,,Uncommon,$2.83,main,https://deckbox.org/system/images/mtg/cards/2012298.jpg,Core Set 2019,254,Near Mint,English,,,,,,2020-10-23 01:51:16 UTC
1,Retribution of the Ancients,Enchantment,{B},Rare,$0.34,main,https://deckbox.org/system/images/mtg/cards/386635.jpg,Khans of Tarkir,85,Near Mint,English,,,,,,2020-10-23 01:42:35 UTC
1,Skullclamp,Artifact - Equipment,{1},Uncommon,$5.04,main,https://deckbox.org/system/images/mtg/cards/2012248.jpg,Commander Anthology,230,Near Mint,English,,,,,,2020-10-23 01:43:46 UTC
1,Sol Ring,Artifact,{1},Uncommon,$3.42,main,https://deckbox.org/system/images/mtg/cards/2012249.jpg,Commander 2017,223,Near Mint,English,,,,,,2020-10-24 23:28:02 UTC
1,Squelching Leeches,Creature - Leech,{2}{B}{B},Uncommon,$0.22,main,https://deckbox.org/system/images/mtg/cards/380507.jpg,Journey into Nyx,84,Near Mint,English,,,,,,2020-10-23 01:44:45 UTC
1,Staff of the Death Magus,Artifact,{3},Uncommon,$0.23,main,https://deckbox.org/system/images/mtg/cards/383397.jpg,Magic 2015 Core Set,232,Near Mint,English,,,,,,2020-10-23 01:44:12 UTC
30,Swamp,Basic Land - Swamp,"",BasicLand,$0.25,main,https://deckbox.org/system/images/mtg/cards/2011787.jpg,Ikoria: Lair of Behemoths,266,,,,,,,,2020-10-23 01:52:51 UTC
1,Swiftfoot Boots,Artifact - Equipment,{2},Uncommon,$3.36,main,https://deckbox.org/system/images/mtg/cards/2012251.jpg,Commander 2014,275,Near Mint,English,,,,,,2020-10-23 01:47:19 UTC
1,Temple of the False God,Land,,Uncommon,$0.46,main,https://deckbox.org/system/images/mtg/cards/2012316.jpg,Commander 2013,327,Near Mint,English,,,,,,2020-10-23 01:50:39 UTC
1,Torment of Hailfire,Sorcery,{X}{B}{B},Rare,$9.05,main,https://deckbox.org/system/images/mtg/cards/430766.jpg,Hour of Devastation,77,Near Mint,English,,,,,,2020-10-23 01:46:25 UTC
1,Triskelion,Artifact Creature - Construct,{6},Rare,$1.22,main,https://deckbox.org/system/images/mtg/cards/206719.jpg,Magic 2011,218,Near Mint,English,,,,,,2020-10-23 01:47:39 UTC
1,Unbreathing Horde,Creature - Zombie,{2}{B},Rare,$0.85,main,https://deckbox.org/system/images/mtg/cards/230786.jpg,Innistrad,121,Near Mint,English,,,,,,2020-10-23 01:42:40 UTC
1,Undead Warchief,Creature - Zombie,{2}{B}{B},Special,$5.84,main,https://deckbox.org/system/images/mtg/cards/108869.jpg,Planechase,44,Near Mint,English,,,,,,2020-10-23 01:45:21 UTC
1,Vanquisher's Banner,Artifact,{5},Rare,$11.54,main,https://deckbox.org/system/images/mtg/cards/435412.jpg,Ixalan,251,Near Mint,English,,,,,,2020-10-24 23:28:02 UTC
1,Vengeful Pharaoh,Creature - Zombie,{2}{B}{B}{B},Rare,$1.71,main,https://deckbox.org/system/images/mtg/cards/220170.jpg,Magic 2012,116,Near Mint,English,,,,,,2020-10-23 01:45:53 UTC
1,Whip of Erebos,Legendary Enchantment Artifact,{2}{B}{B},Rare,$4.62,main,https://deckbox.org/system/images/mtg/cards/373709.jpg,Theros,110,Near Mint,English,,,,,,2020-10-23 01:46:06 UTC
2,Zombie,Token,,Common,$0.25,main,https://deckbox.org/system/images/mtg/cards/2004604.jpg,Extras: Amonkhet,20,Near Mint,English,,,,,,2020-10-23 01:40:35 UTC
1,Zombie Apocalypse,Sorcery,{3}{B}{B}{B},Rare,$3.08,main,https://deckbox.org/system/images/mtg/cards/262669.jpg,Dark Ascension,80,Near Mint,English,,,,,,2020-10-23 01:48:27 UTC
1,Zombie Master,Creature - Zombie,{1}{B}{B},Rare,$4.28,main,https://deckbox.org/system/images/mtg/cards/14599.jpg,Revised Edition,46,Near Mint,English,,,,,,2020-10-23 01:41:18 UTC
1,Zombie Trailblazer,Creature - Zombie Scout,{B}{B}{B},Uncommon,$0.93,main,https://deckbox.org/system/images/mtg/cards/34819.jpg,Torment,89,Near Mint,English,,,,,,2020-10-23 01:44:18 UTC




